driver_id,round,position,grid_position,points,status,laps_completed
antonelli,21,2.0,2.0,18.0,Finished,71.0
max_verstappen,21,3.0,19.0,15.0,Finished,71.0
russell,21,4.0,6.0,12.0,Finished,71.0
piastri,21,5.0,4.0,10.0,Finished,71.0
bearman,21,6.0,8.0,8.0,Finished,71.0
lawson,21,7.0,7.0,6.0,Finished,71.0
hadjar,21,8.0,5.0,4.0,Finished,71.0
hulkenberg,21,9.0,10.0,2.0,Finished,71.0
gasly,21,10.0,9.0,1.0,Finished,71.0
albon,21,11.0,12.0,0.0,Finished,71.0
ocon,21,12.0,20.0,0.0,Finished,71.0
sainz,21,13.0,15.0,0.0,Finished,71.0
alonso,21,14.0,11.0,0.0,Finished,71.0
colapinto,21,15.0,16.0,0.0,Finished,71.0
stroll,21,16.0,14.0,0.0,Finished,71.0
tsunoda,21,17.0,17.0,0.0,Finished,71.0
hamilton,21,18.0,13.0,0.0,Retired,37.0
leclerc,21,19.0,3.0,0.0,Retired,5.0
bortoleto,21,20.0,18.0,0.0,Retired,0.0
max_verstappen,22,1.0,2.0,25.0,Finished,50.0
russell,22,2.0,4.0,18.0,Finished,50.0
antonelli,22,3.0,17.0,15.0,Finished,50.0
leclerc,22,4.0,9.0,12.0,Finished,50.0
sainz,22,5.0,3.0,10.0,Finished,50.0
hadjar,22,6.0,8.0,8.0,Finished,50.0
hulkenberg,22,7.0,11.0,6.0,Finished,50.0
hamilton,22,8.0,19.0,4.0,Finished,50.0
ocon,22,9.0,13.0,2.0,Finished,50.0
bearman,22,10.0,14.0,1.0,Finished,50.0
alonso,22,11.0,7.0,0.0,Finished,50.0
tsunoda,22,12.0,20.0,0.0,Finished,50.0
gasly,22,13.0,10.0,0.0,Finished,50.0
lawson,22,14.0,6.0,0.0,Lapped,49.0
colapinto,22,15.0,15.0,0.0,Lapped,49.0
albon,22,16.0,16.0,0.0,Retired,35.0
bortoleto,22,17.0,18.0,0.0,Retired,2.0
stroll,22,18.0,12.0,0.0,Retired,0.0
norris,22,19.0,1.0,0.0,Disqualified,50.0
piastri,22,20.0,5.0,0.0,Disqualified,50.0
max_verstappen,23,1.0,3.0,25.0,Finished,57.0
piastri,23,2.0,1.0,18.0,Finished,57.0
sainz,23,3.0,7.0,15.0,Finished,57.0
norris,23,4.0,2.0,12.0,Finished,57.0
